"PID","JAR","FORMAT","STEP","START","END","DURATION","ORDER","complexity_score","STEP_CODE","COMPLEXITY"
"P01","jar2","APP","Step 56",00:23:28.2,00:23:53.5,25.2999999523163,"BOOK_FIRST",6,"S56","medium"
"P01","jar2","APP","Step 57",00:23:55.3,00:24:10.5,15.2000000476837,"BOOK_FIRST",3,"S57","low"
"P01","jar2","APP","Step 58",00:24:11.0,00:24:17.4,6.40000009536743,"BOOK_FIRST",3,"S58","low"
"P02","jar1","BOOKLET","Step 0B",00:01:58.5,00:02:30.5,32,"BOOK_FIRST",NA,NA,NA
"P02","jar1","BOOKLET","Step 1",00:02:30.5,00:02:33.9,3.40000009536743,"BOOK_FIRST",2,"S01","low"
"P02","jar1","BOOKLET","Step 2",00:02:33.9,00:03:05.4,31.5,"BOOK_FIRST",5,"S02","medium"
"P02","jar1","BOOKLET","Step 3",00:03:05.4,00:03:20.3,14.8999998569489,"BOOK_FIRST",2,"S03","low"
"P02","jar1","BOOKLET","Step 4",00:03:20.3,00:03:48.4,28.1000001430511,"BOOK_FIRST",5,"S04","medium"
"P02","jar1","BOOKLET","Step 5",00:03:48.4,00:04:15.1,26.6999998092651,"BOOK_FIRST",5,"S05","medium"
"P02","jar1","BOOKLET","Step 6",00:04:15.1,00:04:22.0,6.90000009536743,"BOOK_FIRST",2,"S06","low"
"P02","jar1","BOOKLET","Step 7",00:04:22.0,00:04:32.6,10.5999999046326,"BOOK_FIRST",3,"S07","low"
"P02","jar1","BOOKLET","Step 8",00:04:32.6,00:04:58.6,26,"BOOK_FIRST",2,"S08","low"
"P02","jar1","BOOKLET","Step 9",00:04:59.9,00:05:19.6,19.6999998092651,"BOOK_FIRST",4,"S09","low"
"P02","jar1","BOOKLET","Step 10",00:05:19.6,00:05:35.0,15.4000000953674,"BOOK_FIRST",5,"S10","medium"
"P02","jar1","BOOKLET","Step 11",00:05:35.0,00:05:48.5,13.5,"BOOK_FIRST",3,"S11","low"
"P02","jar1","BOOKLET","Step 12",00:05:49.9,00:05:56.6,6.69999980926514,"BOOK_FIRST",2,"S12","low"
"P02","jar1","BOOKLET","Step 13",00:05:56.6,00:06:12.2,15.6000001430511,"BOOK_FIRST",3,"S13","low"
